ROWNUM;NAME;ADDRESS;NAME_PARK;DOP_INF;NAME_WF;ZONA;STATUS;USLOVIE;GLOBALID;X_WGS84;Y_WGS84;
11;"Wi-Fi точка № 1 в саду «Эрмитаж»";"улица Каретный Ряд, дом 3, строение 7";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788499";"37,61048284";"55,77100114";
12;"Wi-Fi точка № 2 в саду «Эрмитаж»";"улица Каретный Ряд, дом 3, строение 7";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788500";"37,6107012";"55,77069676";
13;"Wi-Fi точка № 3 в саду «Эрмитаж»";"улица Каретный Ряд, дом 3, строение 7";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788501";"37,60833181";"55,77063707";
14;"Wi-Fi точка № 5 в саду «Эрмитаж»";"улица Каретный Ряд, дом 3, строение 7";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788502";"37,6086929";"55,77010919";
15;"Wi-Fi точка № 6 в саду «Эрмитаж»";"улица Каретный Ряд, дом 3, строение 7";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788503";"37,60875111";"55,76981446";
16;"Wi-Fi точка № 10 в парке «Красная Пресня»";"Мантулинская улица, дом 5, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788504";"37,60855872";"55,77037071";
17;"Wi-Fi точка № 2 в парке «Красная Пресня»";"Мантулинская улица, дом 5, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788505";"37,54793091";"55,75458605";
18;"Wi-Fi точка № 3 в парке «Красная Пресня»";"Мантулинская улица, дом 5, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788506";"37,54925824";"55,75452613";
19;"Wi-Fi точка № 4 в парке «Красная Пресня»";"Мантулинская улица, дом 5, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788507";"37,54959485";"55,754122";
20;"Wi-Fi точка № 5 в парке «Красная Пресня»";"Мантулинская улица, дом 5, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788508";"37,55102844";"55,75478682";
